traj_id,time,S_N,S_T,q
3,1128.0,-0.008288901076385862,0.05701353144677818,15.125188165042884
3,1129.0,-0.008288898706199395,0.05701352509102408,15.125188606217746
3,1130.0,-0.00828889646398395,0.05701351879664759,15.125189023572709
3,1131.0,-0.008288894349739532,0.057013512563648706,15.125189417107771
3,1132.0,-0.008288892363466136,0.05701350639202744,15.12518978682294
3,1133.0,-0.008288890505163767,0.057013500281783785,15.125190132718213
3,1134.0,-0.00828888877483242,0.057013494232917745,15.125190454793582
3,1135.0,-0.008288887172472099,0.05701348824542932,15.12519075304906
3,1136.0,-0.008288885698082801,0.057013482319318506,15.125191027484638
3,1137.0,-0.008288884351664529,0.05701347645458531,15.12519127810032
3,1138.0,-0.00828888313321728,0.05701347065122972,15.125191504896101
3,1139.0,-0.008288882042741056,0.05701346490925175,15.125191707871984
3,1140.0,-0.008288881080235856,0.057013459228651385,15.125191887027974
3,1141.0,-0.008288880245701681,0.057013453609428645,15.125192042364063
3,1142.0,-0.00828887953913853,0.05701344805158351,15.125192173880256
3,1143.0,-0.008288878960546404,0.05701344255511599,15.125192281576549
3,1144.0,-0.008288878509925301,0.057013437120026086,15.125192365452948
3,1145.0,-0.008288878187275224,0.0570134317463138,15.125192425509448
3,1146.0,-0.00828887799259617,0.057013426433979116,15.12519246174605
3,1147.0,-0.008288877925888142,0.05701342118302205,15.125192474162755
3,1148.0,-0.008288877987151137,0.057013415993442604,15.125192462759562
3,1149.0,-0.008288878176385158,0.05701341086524077,15.125192427536472
3,1150.0,-0.008288878493590201,0.057013405798416544,15.125192368493485
3,1151.0,-0.00828887893876627,0.05701340079296993,15.1251922856306
3,1152.0,-0.008288879511913363,0.05701339584890094,15.125192178947815
3,1153.0,-0.008288880213031482,0.057013390966209554,15.125192048445136
3,1154.0,-0.008288881042120624,0.05701338614489578,15.125191894122555
3,1155.0,-0.00828888199918079,0.05701338138495962,15.125191715980078
3,1156.0,-0.008288883084211982,0.05701337668640108,15.125191514017704
3,1157.0,-0.008288884297214196,0.057013372049220155,15.125191288235436
3,1158.0,-0.008288885638187436,0.057013367473416836,15.125191038633266
3,1159.0,-0.0082888871071317,0.057013362958991134,15.125190765211205
3,1160.0,-0.008288888704046989,0.057013358505943044,15.125190467969238
3,1161.0,-0.008288890428933302,0.05701335411427257,15.125190146907375
3,1162.0,-0.008288892281790639,0.057013349783979705,15.125189802025618
3,1163.0,-0.008288894262619001,0.057013345515064456,15.125189433323962
3,1164.0,-0.008288896371418386,0.057013341307526826,15.125189040802407
3,1165.0,-0.00828889871970844,0.05701333721626288,15.125188603703238
3,1166.0,-0.008288901554206172,0.057013333385914994,15.125188076103763
3,1167.0,-0.008288904397854636,0.05701332959692103,15.12518754680101
3,1168.0,-0.008288907250653833,0.05701332584928098,15.125187015794989
3,1169.0,-0.00828891011260376,0.057013322142994864,15.125186483085697
3,1170.0,-0.00828891298370442,0.05701331847806266,15.125185948673131
3,1171.0,-0.008288915863955812,0.05701331485448438,15.125185412557292
