S_N,S_T,basin_label
0.0678447231610697,-0.10505953452449648,2
0.0678447231610697,-0.09827987350754734,2
0.0678447231610697,-0.09150021249059818,2
0.0678447231610697,-0.08472055147364903,2
0.0678447231610697,-0.07794089045669987,2
0.0678447231610697,-0.07116122943975073,2
0.0678447231610697,-0.06438156842280157,2
0.0678447231610697,-0.057601907405852415,2
0.0678447231610697,-0.050822246388903265,2
0.0678447231610697,-0.04404258537195411,1
0.0678447231610697,-0.03726292435500496,1
0.0678447231610697,-0.030483263338055802,1
0.0678447231610697,-0.02370360232110665,1
0.0678447231610697,-0.016923941304157496,1
0.0678447231610697,-0.010144280287208342,1
0.0678447231610697,-0.0033646192702591897,1
0.0678447231610697,0.0034150417466899635,1
0.0678447231610697,0.010194702763639117,1
0.0678447231610697,0.01697436378058827,1
0.0678447231610697,0.023754024797537424,1
0.0678447231610697,0.030533685814486577,1
0.0678447231610697,0.03731334683143573,1
0.0678447231610697,0.04409300784838489,1
0.0678447231610697,0.050872668865334036,1
0.0678447231610697,0.05765232988228319,1
0.0678447231610697,0.06443199089923235,1
0.0678447231610697,0.07121165191618149,1
0.0678447231610697,0.07799131293313065,1
0.0678447231610697,0.0847709739500798,1
0.0678447231610697,0.09155063496702896,1
0.0678447231610697,0.0983302959839781,1
0.0678447231610697,0.10510995700092726,1
0.0678447231610697,0.11188961801787642,1
0.0678447231610697,0.11866927903482558,1
0.0678447231610697,0.12544894005177473,1
0.0678447231610697,0.1322286010687239,1
0.0678447231610697,0.13900826208567302,1
0.0678447231610697,0.14578792310262217,1
0.0678447231610697,0.15256758411957133,1
0.0678447231610697,0.1593472451365205,1
0.0678447231610697,0.16612690615346964,1
0.0678447231610697,0.1729065671704188,1
0.0678447231610697,0.17968622818736796,1
0.0678447231610697,0.18646588920431711,1
0.0678447231610697,0.19324555022126627,1
0.0678447231610697,0.2000252112382154,1
0.0678447231610697,0.20680487225516456,1
0.0678447231610697,0.2135845332721137,1
0.0678447231610697,0.22036419428906287,1
0.0678447231610697,0.22714385530601203,1
0.0678447231610697,0.23392351632296118,1
0.0678447231610697,0.24070317733991034,1
0.0678447231610697,0.2474828383568595,1
0.0678447231610697,0.2542624993738086,1
0.0678447231610697,0.2610421603907578,1
0.0678447231610697,0.26782182140770694,1
0.0678447231610697,0.2746014824246561,1
0.0678447231610697,0.28138114344160525,1
0.07462438417801885,-0.1186188565583948,2
0.07462438417801885,-0.11183919554144564,2
0.07462438417801885,-0.10505953452449648,2
0.07462438417801885,-0.09827987350754734,2
0.07462438417801885,-0.09150021249059818,2
0.07462438417801885,-0.08472055147364903,2
0.07462438417801885,-0.07794089045669987,2
0.07462438417801885,-0.07116122943975073,2
0.07462438417801885,-0.06438156842280157,2
0.07462438417801885,-0.057601907405852415,2
0.07462438417801885,-0.050822246388903265,1
0.07462438417801885,-0.04404258537195411,1
0.07462438417801885,-0.03726292435500496,1
0.07462438417801885,-0.030483263338055802,1
0.07462438417801885,-0.02370360232110665,1
0.07462438417801885,-0.016923941304157496,1
0.07462438417801885,-0.010144280287208342,1
0.07462438417801885,-0.0033646192702591897,1
0.07462438417801885,0.0034150417466899635,1
0.07462438417801885,0.010194702763639117,1
0.07462438417801885,0.01697436378058827,1
0.07462438417801885,0.023754024797537424,1
0.07462438417801885,0.030533685814486577,1
0.07462438417801885,0.03731334683143573,1
0.07462438417801885,0.04409300784838489,1
0.07462438417801885,0.050872668865334036,1
0.07462438417801885,0.05765232988228319,1
0.07462438417801885,0.06443199089923235,1
0.07462438417801885,0.07121165191618149,1
0.07462438417801885,0.07799131293313065,1
0.07462438417801885,0.0847709739500798,1
0.07462438417801885,0.09155063496702896,1
0.07462438417801885,0.0983302959839781,1
0.07462438417801885,0.10510995700092726,1
0.07462438417801885,0.11188961801787642,1
0.07462438417801885,0.11866927903482558,1
0.07462438417801885,0.12544894005177473,1
0.07462438417801885,0.1322286010687239,1
0.07462438417801885,0.13900826208567302,1
0.07462438417801885,0.14578792310262217,1
